# ell  fractional_resid
2.000000000000000000e+00 -9.999999900004701292e-01
3.000000000000000000e+00 -9.999999900018975429e-01
4.000000000000000000e+00 -9.999999900043022860e-01
5.000000000000000000e+00 -9.999999900082902071e-01
6.000000000000000000e+00 -9.999999900154582511e-01
7.000000000000000000e+00 -9.999999900295387656e-01
8.000000000000000000e+00 -9.999999900584740642e-01
9.000000000000000000e+00 -9.999999901130234292e-01
1.000000000000000000e+01 -9.999999901878635633e-01
1.100000000000000000e+01 -9.999999902542672237e-01
1.200000000000000000e+01 -9.999999903080112329e-01
1.300000000000000000e+01 -9.999999903680596436e-01
1.400000000000000000e+01 -9.999999904422528507e-01
1.500000000000000000e+01 -9.999999905171683690e-01
1.600000000000000000e+01 -9.998268439889742565e-01
1.700000000000000000e+01 -9.999999905807421818e-01
1.800000000000000000e+01 -1.000711878917043940e+00
1.900000000000000000e+01 -9.999999905497541919e-01
2.000000000000000000e+01 -9.995057918710641420e-01
2.100000000000000000e+01 -9.999999905099966613e-01
2.200000000000000000e+01 -1.000031943538119972e+00
2.300000000000000000e+01 -9.999999904631123870e-01
2.400000000000000000e+01 -9.998439280458056855e-01
2.500000000000000000e+01 -9.999999904107893522e-01
2.600000000000000000e+01 -1.000245905311603511e+00
2.700000000000000000e+01 -9.999999903636433984e-01
2.800000000000000000e+01 -9.999744730579731566e-01
2.900000000000000000e+01 -9.999999903253172784e-01
3.000000000000000000e+01 -9.998852006273950543e-01
