# ell  fractional_resid
2.000000000000000000e+00 -9.953640329678977716e-01
3.000000000000000000e+00 -9.972707053922859055e-01
4.000000000000000000e+00 -9.983427421017218029e-01
5.000000000000000000e+00 -9.989707127111364660e-01
6.000000000000000000e+00 -9.993479198356909343e-01
7.000000000000000000e+00 -9.995787374082721888e-01
8.000000000000000000e+00 -9.997213048790732914e-01
9.000000000000000000e+00 -9.998100554171810428e-01
1.000000000000000000e+01 -9.998653542154154472e-01
1.100000000000000000e+01 -9.998995508981878277e-01
1.200000000000000000e+01 -9.999202306286691933e-01
1.300000000000000000e+01 -9.999327731186984369e-01
1.400000000000000000e+01 -9.999405415401972919e-01
1.500000000000000000e+01 -9.999455448545404579e-01
1.600000000000000000e+01 1.633439114839236650e+00
1.700000000000000000e+01 -9.999511832852536752e-01
1.800000000000000000e+01 -6.538366688626136458e+00
1.900000000000000000e+01 -9.999549813466472870e-01
2.000000000000000000e+01 -1.810369244961120394e+00
2.100000000000000000e+01 -9.999585711061382831e-01
2.200000000000000000e+01 -1.699026997205462575e+00
2.300000000000000000e+01 -9.999619170319911099e-01
2.400000000000000000e+01 3.060084776496909686e+00
2.500000000000000000e+01 -9.999649137139005051e-01
2.600000000000000000e+01 -2.824430831031776279e+00
2.700000000000000000e+01 -9.999675132512471087e-01
2.800000000000000000e+01 -3.195415860290312438e+00
2.900000000000000000e+01 -9.999698907797514025e-01
3.000000000000000000e+01 -4.115390610621664891e+00
